Story,Author,WorkTime,Article,OneOrMulti,Question,A,B,C,D,Answer
mc160.train.34,2479256243,973,"Jamie and his friends love playing baseball. They play in the park every morning. Onesummer morning they lost the baseball. Jamie and his friend Joe went to the store. Theybought two baseballs. They also bought colas for the other kids. They spent tendollars. Jamie and Joe went back to the park. His friend Mike drank his cola and went tobat. Mike hit a home run and rounded the bases. All of Jamie's friends cheered veryloudly.  The sun was very bright and Jamie had an idea. Jamie and his friends went to thepool in town and swam that afternoon. They met Sally and Jessica at the pool. They alsomet Jenny at the pool. The lifeguard made them put their sandals, watches and hats by thefence. Jamie went home after swimming. He was very tired. He went to sleep but had a lotof fun that day.",one,"Who made Jamie and his friends leave their sandals, watches and hats by the fence?",Jessica,Mike,Joe,The lifeguard,The lifeguard
mc160.train.34,2479256243,973,"Jamie and his friends love playing baseball. They play in the park every morning. Onesummer morning they lost the baseball. Jamie and his friend Joe went to the store. Theybought two baseballs. They also bought colas for the other kids. They spent tendollars. Jamie and Joe went back to the park. His friend Mike drank his cola and went tobat. Mike hit a home run and rounded the bases. All of Jamie's friends cheered veryloudly.  The sun was very bright and Jamie had an idea. Jamie and his friends went to thepool in town and swam that afternoon. They met Sally and Jessica at the pool. They alsomet Jenny at the pool. The lifeguard made them put their sandals, watches and hats by thefence. Jamie went home after swimming. He was very tired. He went to sleep but had a lotof fun that day.",one,Where do Jamie and his friends play baseball?,The store,The park,The street,His house,The park
mc160.train.34,2479256243,973,"Jamie and his friends love playing baseball. They play in the park every morning. Onesummer morning they lost the baseball. Jamie and his friend Joe went to the store. Theybought two baseballs. They also bought colas for the other kids. They spent tendollars. Jamie and Joe went back to the park. His friend Mike drank his cola and went tobat. Mike hit a home run and rounded the bases. All of Jamie's friends cheered veryloudly.  The sun was very bright and Jamie had an idea. Jamie and his friends went to thepool in town and swam that afternoon. They met Sally and Jessica at the pool. They alsomet Jenny at the pool. The lifeguard made them put their sandals, watches and hats by thefence. Jamie went home after swimming. He was very tired. He went to sleep but had a lotof fun that day.",multiple,What girls did Jamie and his friends meet at the pool?,Mike and Sally,Mike and Joe,"Jessica, Jenny and Sally",Mike and the Lifeguard,"Jessica, Jenny and Sally"
mc160.train.34,2479256243,973,"Jamie and his friends love playing baseball. They play in the park every morning. Onesummer morning they lost the baseball. Jamie and his friend Joe went to the store. Theybought two baseballs. They also bought colas for the other kids. They spent tendollars. Jamie and Joe went back to the park. His friend Mike drank his cola and went tobat. Mike hit a home run and rounded the bases. All of Jamie's friends cheered veryloudly.  The sun was very bright and Jamie had an idea. Jamie and his friends went to thepool in town and swam that afternoon. They met Sally and Jessica at the pool. They alsomet Jenny at the pool. The lifeguard made them put their sandals, watches and hats by thefence. Jamie went home after swimming. He was very tired. He went to sleep but had a lotof fun that day.",multiple,What did Jamie and Joe buy from the store?,2 baseballs and chips,Colas and chips,Ice Cream,2 baseballs and colas,2 baseballs and colas
mc160.train.35,1606126609,1528,"Once upon a time, there was a boy named Freddy.   And Freddy loved his mom very much, andhis mom loved him very much too.  One day, Freddy went outside to ride his bike.  On theway out, his mother told him, ""Remember to wear your helmet,"" and Freddy grabbed hishelmet and met his friends outside.  When he was putting on his helmet, his friends toldhim, ""Helmets are for girls!  You're not cool if you wear a helmet!""  Freddy thought aboutwhat his mom told him, but he wanted to be cool like his friends, and he took off hishelmet.Freddy and his friends went on a long adventure, and they rode all the way to the top ofthe largest hill in their neighborhood.  Looking down, Freddy was scared.  He had neverridden down this hill before.  His friends said, ""What are you, scared?""  Freddy did notwant to come off as scared.  He hopped on his bicycle, and down he went.  Freddy startedspeeding up, going very, very fast.  He pressed his brakes, but oh no, his brakes weren'tworking.  Freddy, speeding down the hill, did not know what to do.  He got to the end ofthe hill and slammed right into a tree.  He awoke the next day in the hospital.At the hospital, his mother was there.  Freddy opened his eyes and told his mom the wholestory.  He told her how we would never do that again, and how he would always wear hishelmet.  His mom gave him a big kiss on the forehead, and Freddy knew his mother was rightin the beginning.  She didn't have to say it.  In the end, Freddy learned that it'simportant to not care what other people think, and those that think you're not coolbecause you wear a helmet are the ones that aren't cool in the first place.",one,Who does Freddy love?,His friends,His bicycle,His mom,His dad,His mom
mc160.train.35,1606126609,1528,"Once upon a time, there was a boy named Freddy.   And Freddy loved his mom very much, andhis mom loved him very much too.  One day, Freddy went outside to ride his bike.  On theway out, his mother told him, ""Remember to wear your helmet,"" and Freddy grabbed hishelmet and met his friends outside.  When he was putting on his helmet, his friends toldhim, ""Helmets are for girls!  You're not cool if you wear a helmet!""  Freddy thought aboutwhat his mom told him, but he wanted to be cool like his friends, and he took off hishelmet.Freddy and his friends went on a long adventure, and they rode all the way to the top ofthe largest hill in their neighborhood.  Looking down, Freddy was scared.  He had neverridden down this hill before.  His friends said, ""What are you, scared?""  Freddy did notwant to come off as scared.  He hopped on his bicycle, and down he went.  Freddy startedspeeding up, going very, very fast.  He pressed his brakes, but oh no, his brakes weren'tworking.  Freddy, speeding down the hill, did not know what to do.  He got to the end ofthe hill and slammed right into a tree.  He awoke the next day in the hospital.At the hospital, his mother was there.  Freddy opened his eyes and told his mom the wholestory.  He told her how we would never do that again, and how he would always wear hishelmet.  His mom gave him a big kiss on the forehead, and Freddy knew his mother was rightin the beginning.  She didn't have to say it.  In the end, Freddy learned that it'simportant to not care what other people think, and those that think you're not coolbecause you wear a helmet are the ones that aren't cool in the first place.",one,What's the name of the main character in the story?,Billy,Freddy,Blake,Joey,Freddy
mc160.train.35,1606126609,1528,"Once upon a time, there was a boy named Freddy.   And Freddy loved his mom very much, andhis mom loved him very much too.  One day, Freddy went outside to ride his bike.  On theway out, his mother told him, ""Remember to wear your helmet,"" and Freddy grabbed hishelmet and met his friends outside.  When he was putting on his helmet, his friends toldhim, ""Helmets are for girls!  You're not cool if you wear a helmet!""  Freddy thought aboutwhat his mom told him, but he wanted to be cool like his friends, and he took off hishelmet.Freddy and his friends went on a long adventure, and they rode all the way to the top ofthe largest hill in their neighborhood.  Looking down, Freddy was scared.  He had neverridden down this hill before.  His friends said, ""What are you, scared?""  Freddy did notwant to come off as scared.  He hopped on his bicycle, and down he went.  Freddy startedspeeding up, going very, very fast.  He pressed his brakes, but oh no, his brakes weren'tworking.  Freddy, speeding down the hill, did not know what to do.  He got to the end ofthe hill and slammed right into a tree.  He awoke the next day in the hospital.At the hospital, his mother was there.  Freddy opened his eyes and told his mom the wholestory.  He told her how we would never do that again, and how he would always wear hishelmet.  His mom gave him a big kiss on the forehead, and Freddy knew his mother was rightin the beginning.  She didn't have to say it.  In the end, Freddy learned that it'simportant to not care what other people think, and those that think you're not coolbecause you wear a helmet are the ones that aren't cool in the first place.",multiple,In which two places is this story located?,Neighborhood and Hospital,Neighborhood and Shopping Mall,Hospital and the Zoo,Restaurant and Shopping Mall,Neighborhood and Hospital
mc160.train.35,1606126609,1528,"Once upon a time, there was a boy named Freddy.   And Freddy loved his mom very much, andhis mom loved him very much too.  One day, Freddy went outside to ride his bike.  On theway out, his mother told him, ""Remember to wear your helmet,"" and Freddy grabbed hishelmet and met his friends outside.  When he was putting on his helmet, his friends toldhim, ""Helmets are for girls!  You're not cool if you wear a helmet!""  Freddy thought aboutwhat his mom told him, but he wanted to be cool like his friends, and he took off hishelmet.Freddy and his friends went on a long adventure, and they rode all the way to the top ofthe largest hill in their neighborhood.  Looking down, Freddy was scared.  He had neverridden down this hill before.  His friends said, ""What are you, scared?""  Freddy did notwant to come off as scared.  He hopped on his bicycle, and down he went.  Freddy startedspeeding up, going very, very fast.  He pressed his brakes, but oh no, his brakes weren'tworking.  Freddy, speeding down the hill, did not know what to do.  He got to the end ofthe hill and slammed right into a tree.  He awoke the next day in the hospital.At the hospital, his mother was there.  Freddy opened his eyes and told his mom the wholestory.  He told her how we would never do that again, and how he would always wear hishelmet.  His mom gave him a big kiss on the forehead, and Freddy knew his mother was rightin the beginning.  She didn't have to say it.  In the end, Freddy learned that it'simportant to not care what other people think, and those that think you're not coolbecause you wear a helmet are the ones that aren't cool in the first place.",multiple,What two things do the main character's friends say to him?,"""Freddy is a girl!"" and ""You're a little baby!""","""Helmets are for girls!  You're not cool if you wear a helmet!"" and ""What are you, scared?""","""Did your mommy buy you that helmet?""  and ""Helmets are for girls!  You're not cool if you wear a helmet!""","""Quit being such a cry baby"" and ""What are you, scared?""","""Helmets are for girls!  You're not cool if you wear a helmet!"" and ""What are you, scared?"""
mc160.train.36,1918645709,1253,"There was a big race in town. Stephanie and Sarah were friends. Stephanie was faster thanSarah. On the day of the race, they wished each other good luck. Sarah tripped on a rockduring the race. She cried but another one of her friends, Matt, helped her standup. Stephanie cheered for her to finish after she crossed the line.On the next day Sarah came into school with a bruise on her knee. Jane thought she lookedsilly. They were in the same class. Jane did not make fun of Sarah. She gave her a bandageinstead. It had a cat on it to match Sarah's shirt.Sarah was still unhappy. She would not eat her lunch or play at recess. When Stephanietried to talk to her she frowned. Then Stephanie gave Sarah a bunny toy that sheliked. Sarah smiled. She gave Stephanie a hug.",multiple,"Based on the story, who likely won the race?",Jane,Matt,Sarah,Stephanie,Stephanie
mc160.train.36,1918645709,1253,"There was a big race in town. Stephanie and Sarah were friends. Stephanie was faster thanSarah. On the day of the race, they wished each other good luck. Sarah tripped on a rockduring the race. She cried but another one of her friends, Matt, helped her standup. Stephanie cheered for her to finish after she crossed the line.On the next day Sarah came into school with a bruise on her knee. Jane thought she lookedsilly. They were in the same class. Jane did not make fun of Sarah. She gave her a bandageinstead. It had a cat on it to match Sarah's shirt.Sarah was still unhappy. She would not eat her lunch or play at recess. When Stephanietried to talk to her she frowned. Then Stephanie gave Sarah a bunny toy that sheliked. Sarah smiled. She gave Stephanie a hug.",multiple,Why was Sarah unhappy?,Stephanie was her friend,She did not win the race,Matt helped her stand up,Jane gave her a bandage,She did not win the race
mc160.train.36,1918645709,1253,"There was a big race in town. Stephanie and Sarah were friends. Stephanie was faster thanSarah. On the day of the race, they wished each other good luck. Sarah tripped on a rockduring the race. She cried but another one of her friends, Matt, helped her standup. Stephanie cheered for her to finish after she crossed the line.On the next day Sarah came into school with a bruise on her knee. Jane thought she lookedsilly. They were in the same class. Jane did not make fun of Sarah. She gave her a bandageinstead. It had a cat on it to match Sarah's shirt.Sarah was still unhappy. She would not eat her lunch or play at recess. When Stephanietried to talk to her she frowned. Then Stephanie gave Sarah a bunny toy that sheliked. Sarah smiled. She gave Stephanie a hug.",one,What did Stephanie give Sarah?,A rock,A bunny toy,A hug,A bandage,A bunny toy
mc160.train.36,1918645709,1253,"There was a big race in town. Stephanie and Sarah were friends. Stephanie was faster thanSarah. On the day of the race, they wished each other good luck. Sarah tripped on a rockduring the race. She cried but another one of her friends, Matt, helped her standup. Stephanie cheered for her to finish after she crossed the line.On the next day Sarah came into school with a bruise on her knee. Jane thought she lookedsilly. They were in the same class. Jane did not make fun of Sarah. She gave her a bandageinstead. It had a cat on it to match Sarah's shirt.Sarah was still unhappy. She would not eat her lunch or play at recess. When Stephanietried to talk to her she frowned. Then Stephanie gave Sarah a bunny toy that sheliked. Sarah smiled. She gave Stephanie a hug.",one,What was on Sarah's shirt?,shoelace,cat,rock,bunny,cat
mc160.train.37,528199311,3241,"The other day Mitch went to the store to buy his mother a big turkey. Inside the storethere was food all over! Mitch could not believe his own little eyes. From the first timeMitch woke up this morning he knew that he'd be a big man someday, and getting a bigturkey for his mother was the way in which he could show that he is a big man. The storehad all kinds of food from chocolate bars to yummy radish. Mitch ran for the turkeysection of the store with much force. ""Turkeys are good, yummy yummy in my tummy, I wantto eat a big old turkey and then go to the bathroom several times!"" Mitch would cry out tostrangers he met in the turkey section of the store. Then, four and a half seconds later,Mitch turned into a giant Walrus named Ted! No one knew how this could have happened, butthe Walrus knew. A few years later, Mitch the now giant Walrus named Ted joined the circusand became a rich man with green in his heart. He could not think of anything elsebut making more money at his circus. One day Ted the giant Walrus, also known as Mitch thehappy boy, remembered that his mother still wanted a big turkey for her late nightbreakfast. Now that Ted was a giant walrus making money hand over fist, he could buy hismommy a big old turkey for their night time breakfast. Ted the walrus also remembered thathe had earlier built a time machine. Ted the giant walrus used his time machine to go backin time to buy his mother who was now a dog named Herbert. Ted's mother, Herbert loved thebig turkey, but there was a small problem. Herbert the dog didn't have any teeth!",multiple,What are the different types of food found in the store?,no food is in the story.,Turkey and radishes.,"Turkey, chocolate, and radishes.",Chocolate.,"Turkey, chocolate, and radishes."
mc160.train.37,528199311,3241,"The other day Mitch went to the store to buy his mother a big turkey. Inside the storethere was food all over! Mitch could not believe his own little eyes. From the first timeMitch woke up this morning he knew that he'd be a big man someday, and getting a bigturkey for his mother was the way in which he could show that he is a big man. The storehad all kinds of food from chocolate bars to yummy radish. Mitch ran for the turkeysection of the store with much force. ""Turkeys are good, yummy yummy in my tummy, I wantto eat a big old turkey and then go to the bathroom several times!"" Mitch would cry out tostrangers he met in the turkey section of the store. Then, four and a half seconds later,Mitch turned into a giant Walrus named Ted! No one knew how this could have happened, butthe Walrus knew. A few years later, Mitch the now giant Walrus named Ted joined the circusand became a rich man with green in his heart. He could not think of anything elsebut making more money at his circus. One day Ted the giant Walrus, also known as Mitch thehappy boy, remembered that his mother still wanted a big turkey for her late nightbreakfast. Now that Ted was a giant walrus making money hand over fist, he could buy hismommy a big old turkey for their night time breakfast. Ted the walrus also remembered thathe had earlier built a time machine. Ted the giant walrus used his time machine to go backin time to buy his mother who was now a dog named Herbert. Ted's mother, Herbert loved thebig turkey, but there was a small problem. Herbert the dog didn't have any teeth!",multiple,"Mitch's heart is ____, after joining the _____.","red, circus","blue, CIA","green, circus","pink, superheroes","green, circus"
mc160.train.37,528199311,3241,"The other day Mitch went to the store to buy his mother a big turkey. Inside the storethere was food all over! Mitch could not believe his own little eyes. From the first timeMitch woke up this morning he knew that he'd be a big man someday, and getting a bigturkey for his mother was the way in which he could show that he is a big man. The storehad all kinds of food from chocolate bars to yummy radish. Mitch ran for the turkeysection of the store with much force. ""Turkeys are good, yummy yummy in my tummy, I wantto eat a big old turkey and then go to the bathroom several times!"" Mitch would cry out tostrangers he met in the turkey section of the store. Then, four and a half seconds later,Mitch turned into a giant Walrus named Ted! No one knew how this could have happened, butthe Walrus knew. A few years later, Mitch the now giant Walrus named Ted joined the circusand became a rich man with green in his heart. He could not think of anything elsebut making more money at his circus. One day Ted the giant Walrus, also known as Mitch thehappy boy, remembered that his mother still wanted a big turkey for her late nightbreakfast. Now that Ted was a giant walrus making money hand over fist, he could buy hismommy a big old turkey for their night time breakfast. Ted the walrus also remembered thathe had earlier built a time machine. Ted the giant walrus used his time machine to go backin time to buy his mother who was now a dog named Herbert. Ted's mother, Herbert loved thebig turkey, but there was a small problem. Herbert the dog didn't have any teeth!",one,What did Mitch need to get for his mother at the store?,Toys.,A fish soup.,A big turkey.,A lion.,A big turkey.
mc160.train.37,528199311,3241,"The other day Mitch went to the store to buy his mother a big turkey. Inside the storethere was food all over! Mitch could not believe his own little eyes. From the first timeMitch woke up this morning he knew that he'd be a big man someday, and getting a bigturkey for his mother was the way in which he could show that he is a big man. The storehad all kinds of food from chocolate bars to yummy radish. Mitch ran for the turkeysection of the store with much force. ""Turkeys are good, yummy yummy in my tummy, I wantto eat a big old turkey and then go to the bathroom several times!"" Mitch would cry out tostrangers he met in the turkey section of the store. Then, four and a half seconds later,Mitch turned into a giant Walrus named Ted! No one knew how this could have happened, butthe Walrus knew. A few years later, Mitch the now giant Walrus named Ted joined the circusand became a rich man with green in his heart. He could not think of anything elsebut making more money at his circus. One day Ted the giant Walrus, also known as Mitch thehappy boy, remembered that his mother still wanted a big turkey for her late nightbreakfast. Now that Ted was a giant walrus making money hand over fist, he could buy hismommy a big old turkey for their night time breakfast. Ted the walrus also remembered thathe had earlier built a time machine. Ted the giant walrus used his time machine to go backin time to buy his mother who was now a dog named Herbert. Ted's mother, Herbert loved thebig turkey, but there was a small problem. Herbert the dog didn't have any teeth!",one,Who was Ted the Walrus before he was a giant walrus?,Mickey the mouse.,Mitch.,Ricky the bat.,Dino the dog faced boy.,Mitch.
mc160.train.38,259176131,843,"As they went to the doors they saw they had the letters A, B, C, and D on them. What did itmean? Alpha, the leader, told everyone to stop and look at the doors, so as to see whichdoor they would go through. The walls were brown and dirty. The lights were yellow. Door Awas blue. This was Beta's choice. Door B was red. Door C was the same color as doorA. Door D a color no one had seen before. Gamma felt that Alpha needed to make a choicesoon before the monsters caught their scent. Delta was the first to voice a choice. Hewanted to go in the red door. Alpha told him that the old books said to go in the bluedoor. This is why it was so hard for Alpha right now. Two doors were blue. Being a goodleader, Alpha asked everyone what they wanted to do. The final choice was door D. Theywent in and enjoyed all of time in a world with odd colors.",multiple,What color was door C?,blue,red,yellow,brown,blue
mc160.train.38,259176131,843,"As they went to the doors they saw they had the letters A, B, C, and D on them. What did itmean? Alpha, the leader, told everyone to stop and look at the doors, so as to see whichdoor they would go through. The walls were brown and dirty. The lights were yellow. Door Awas blue. This was Beta's choice. Door B was red. Door C was the same color as doorA. Door D a color no one had seen before. Gamma felt that Alpha needed to make a choicesoon before the monsters caught their scent. Delta was the first to voice a choice. Hewanted to go in the red door. Alpha told him that the old books said to go in the bluedoor. This is why it was so hard for Alpha right now. Two doors were blue. Being a goodleader, Alpha asked everyone what they wanted to do. The final choice was door D. Theywent in and enjoyed all of time in a world with odd colors.",one,Who was the leader?,Beta,Gamma,Alpha,Delta,Alpha
mc160.train.38,259176131,843,"As they went to the doors they saw they had the letters A, B, C, and D on them. What did itmean? Alpha, the leader, told everyone to stop and look at the doors, so as to see whichdoor they would go through. The walls were brown and dirty. The lights were yellow. Door Awas blue. This was Beta's choice. Door B was red. Door C was the same color as doorA. Door D a color no one had seen before. Gamma felt that Alpha needed to make a choicesoon before the monsters caught their scent. Delta was the first to voice a choice. Hewanted to go in the red door. Alpha told him that the old books said to go in the bluedoor. This is why it was so hard for Alpha right now. Two doors were blue. Being a goodleader, Alpha asked everyone what they wanted to do. The final choice was door D. Theywent in and enjoyed all of time in a world with odd colors.",multiple,What color was the door that Delta wanted to go in?,blue,yellow,red,brown,red
mc160.train.38,259176131,843,"As they went to the doors they saw they had the letters A, B, C, and D on them. What did itmean? Alpha, the leader, told everyone to stop and look at the doors, so as to see whichdoor they would go through. The walls were brown and dirty. The lights were yellow. Door Awas blue. This was Beta's choice. Door B was red. Door C was the same color as doorA. Door D a color no one had seen before. Gamma felt that Alpha needed to make a choicesoon before the monsters caught their scent. Delta was the first to voice a choice. Hewanted to go in the red door. Alpha told him that the old books said to go in the bluedoor. This is why it was so hard for Alpha right now. Two doors were blue. Being a goodleader, Alpha asked everyone what they wanted to do. The final choice was door D. Theywent in and enjoyed all of time in a world with odd colors.",one,What color was door A?,blue,red,yellow,brown,blue
mc160.train.39,1226214207,5602,"Tommy's birthday is next week.  He is hoping for a very special gift.  What are somethings Tommy is hoping for?He would like a big, bouncy ball, like his friends Bobby and Joey have.  One with bluestripes!He would really like some new sneakers.  Danny, Tommy's best friend, got a special pair ofsneakers for HIS birthday last month.  They have pictures of robots on them and even lightup when you walk!He would really, REALLY like a shiny new bicycle.  Tommy has an old bicycle now. He isgetting too big for it.  He saw a red one in the store yesterday when he was shopping withhis Mom.  It looked like it was the right size for him!But what Tommy wants most of all is a new baby brother.  Today his Mom and Dad said thathe might have one very, very soon.  Then Tommy and his little brother can have many funbirthdays together.  That would be the best gift of all!",multiple,What makes Danny's sneakers special?,bouncy,shiny red,pictures of robots,blue stripes,pictures of robots
mc160.train.39,1226214207,5602,"Tommy's birthday is next week.  He is hoping for a very special gift.  What are somethings Tommy is hoping for?He would like a big, bouncy ball, like his friends Bobby and Joey have.  One with bluestripes!He would really like some new sneakers.  Danny, Tommy's best friend, got a special pair ofsneakers for HIS birthday last month.  They have pictures of robots on them and even lightup when you walk!He would really, REALLY like a shiny new bicycle.  Tommy has an old bicycle now. He isgetting too big for it.  He saw a red one in the store yesterday when he was shopping withhis Mom.  It looked like it was the right size for him!But what Tommy wants most of all is a new baby brother.  Today his Mom and Dad said thathe might have one very, very soon.  Then Tommy and his little brother can have many funbirthdays together.  That would be the best gift of all!",one,When is Tommy's birthday?,today,last month,yesterday,next week,next week
mc160.train.39,1226214207,5602,"Tommy's birthday is next week.  He is hoping for a very special gift.  What are somethings Tommy is hoping for?He would like a big, bouncy ball, like his friends Bobby and Joey have.  One with bluestripes!He would really like some new sneakers.  Danny, Tommy's best friend, got a special pair ofsneakers for HIS birthday last month.  They have pictures of robots on them and even lightup when you walk!He would really, REALLY like a shiny new bicycle.  Tommy has an old bicycle now. He isgetting too big for it.  He saw a red one in the store yesterday when he was shopping withhis Mom.  It looked like it was the right size for him!But what Tommy wants most of all is a new baby brother.  Today his Mom and Dad said thathe might have one very, very soon.  Then Tommy and his little brother can have many funbirthdays together.  That would be the best gift of all!",multiple,What's wrong with Tommy's old bicycle?,it's not shiny,it's too small,it's old,it's red,it's too small
mc160.train.39,1226214207,5602,"Tommy's birthday is next week.  He is hoping for a very special gift.  What are somethings Tommy is hoping for?He would like a big, bouncy ball, like his friends Bobby and Joey have.  One with bluestripes!He would really like some new sneakers.  Danny, Tommy's best friend, got a special pair ofsneakers for HIS birthday last month.  They have pictures of robots on them and even lightup when you walk!He would really, REALLY like a shiny new bicycle.  Tommy has an old bicycle now. He isgetting too big for it.  He saw a red one in the store yesterday when he was shopping withhis Mom.  It looked like it was the right size for him!But what Tommy wants most of all is a new baby brother.  Today his Mom and Dad said thathe might have one very, very soon.  Then Tommy and his little brother can have many funbirthdays together.  That would be the best gift of all!",one,Who is Tommy's best friend?,Danny,Joey's little brother,Joey,Bobby,Danny
mc160.train.40,3411676068,809,"Once upon a time there were three rabbits, named Winston, Chester, and Francis. Chesterwas a brown rabbit with large eyes. Francis was grey and white and had messy fur. Winstonwas black and very fat. They were very happy rabbits who loved to eat. Every day theywould leave their home, cross a road, and go through a small forest to get to a meadow ofgrass. They loved to eat that grass. One day, Chester thought he smelled somethinginteresting. At first he thought it might be dirt. Then he thought maybe some sort offlower. So, he asked a nearby squirrel. The squirrel's name was Acorn. Acorn said that hethought it was mushrooms. However, Francis, the smartest rabbit, went to go look, and helearned that it was actually a garden of carrots. The rabbits were all excited. They allloved carrots! They ate all the carrots.",multiple,What was the interesting smell?,Carrots,A flower,Mushrooms,Dirt,Carrots
mc160.train.40,3411676068,809,"Once upon a time there were three rabbits, named Winston, Chester, and Francis. Chesterwas a brown rabbit with large eyes. Francis was grey and white and had messy fur. Winstonwas black and very fat. They were very happy rabbits who loved to eat. Every day theywould leave their home, cross a road, and go through a small forest to get to a meadow ofgrass. They loved to eat that grass. One day, Chester thought he smelled somethinginteresting. At first he thought it might be dirt. Then he thought maybe some sort offlower. So, he asked a nearby squirrel. The squirrel's name was Acorn. Acorn said that hethought it was mushrooms. However, Francis, the smartest rabbit, went to go look, and helearned that it was actually a garden of carrots. The rabbits were all excited. They allloved carrots! They ate all the carrots.",one,What color is Winston?,White,Black,Brown,Grey,Black
mc160.train.40,3411676068,809,"Once upon a time there were three rabbits, named Winston, Chester, and Francis. Chesterwas a brown rabbit with large eyes. Francis was grey and white and had messy fur. Winstonwas black and very fat. They were very happy rabbits who loved to eat. Every day theywould leave their home, cross a road, and go through a small forest to get to a meadow ofgrass. They loved to eat that grass. One day, Chester thought he smelled somethinginteresting. At first he thought it might be dirt. Then he thought maybe some sort offlower. So, he asked a nearby squirrel. The squirrel's name was Acorn. Acorn said that hethought it was mushrooms. However, Francis, the smartest rabbit, went to go look, and helearned that it was actually a garden of carrots. The rabbits were all excited. They allloved carrots! They ate all the carrots.",one,Who smelled something interesting?,Francis,Winston,Chester,Acorn,Chester
mc160.train.40,3411676068,809,"Once upon a time there were three rabbits, named Winston, Chester, and Francis. Chesterwas a brown rabbit with large eyes. Francis was grey and white and had messy fur. Winstonwas black and very fat. They were very happy rabbits who loved to eat. Every day theywould leave their home, cross a road, and go through a small forest to get to a meadow ofgrass. They loved to eat that grass. One day, Chester thought he smelled somethinginteresting. At first he thought it might be dirt. Then he thought maybe some sort offlower. So, he asked a nearby squirrel. The squirrel's name was Acorn. Acorn said that hethought it was mushrooms. However, Francis, the smartest rabbit, went to go look, and helearned that it was actually a garden of carrots. The rabbits were all excited. They allloved carrots! They ate all the carrots.",multiple,Where did the rabbits go to eat everyday?,The meadow,A forest,Their home,A road,The meadow
mc160.train.41,2258247837,1709,"Late in the evening, the wind blew hard around the little house. The sound of the wind islike someone crying. It made the old woman nervous. She had not been getting much sleeplately, but with the wind making the spooky noise, she didn't know what else to do but liedown and try to rest a little.Once she lay down to try to sleep, many memories of her life in the little house kept hermind busy. She still was having trouble falling asleep. She remembered being a little girland her dad putting the finishing touches on the house. Her mom loved the big kitchen, andshe and her younger sister had their own room in the back.It was in this, her old bedroom, that she was trying to sleep. The crying sound gotlouder. It didn't seem like it was outside. It sounded like it was coming from the otherside of the bed. When she turned and looked, she saw her younger sister. She still lookedfive years old. The old woman couldn't remember her any other way, as she had died from asickness at age five.""What's wrong?"" she asked her sister. ""I miss you. I am so lonely,"" answered the littlegirl, who was so thin you could see through her. The old lady closed her eyes and reachedfor her sister. That is how they found her the next day, holding her pillow and smiling.""She died in her sleep."" ""It is best that way.""",multiple,What made the old woman nervous?,the sound of the wind,ghosts,cats,snakes,the sound of the wind
mc160.train.41,2258247837,1709,"Late in the evening, the wind blew hard around the little house. The sound of the wind islike someone crying. It made the old woman nervous. She had not been getting much sleeplately, but with the wind making the spooky noise, she didn't know what else to do but liedown and try to rest a little.Once she lay down to try to sleep, many memories of her life in the little house kept hermind busy. She still was having trouble falling asleep. She remembered being a little girland her dad putting the finishing touches on the house. Her mom loved the big kitchen, andshe and her younger sister had their own room in the back.It was in this, her old bedroom, that she was trying to sleep. The crying sound gotlouder. It didn't seem like it was outside. It sounded like it was coming from the otherside of the bed. When she turned and looked, she saw her younger sister. She still lookedfive years old. The old woman couldn't remember her any other way, as she had died from asickness at age five.""What's wrong?"" she asked her sister. ""I miss you. I am so lonely,"" answered the littlegirl, who was so thin you could see through her. The old lady closed her eyes and reachedfor her sister. That is how they found her the next day, holding her pillow and smiling.""She died in her sleep."" ""It is best that way.""",one,What was blowing outside the house?,bubbles,a storm,the wind,clouds,the wind
mc160.train.41,2258247837,1709,"Late in the evening, the wind blew hard around the little house. The sound of the wind islike someone crying. It made the old woman nervous. She had not been getting much sleeplately, but with the wind making the spooky noise, she didn't know what else to do but liedown and try to rest a little.Once she lay down to try to sleep, many memories of her life in the little house kept hermind busy. She still was having trouble falling asleep. She remembered being a little girland her dad putting the finishing touches on the house. Her mom loved the big kitchen, andshe and her younger sister had their own room in the back.It was in this, her old bedroom, that she was trying to sleep. The crying sound gotlouder. It didn't seem like it was outside. It sounded like it was coming from the otherside of the bed. When she turned and looked, she saw her younger sister. She still lookedfive years old. The old woman couldn't remember her any other way, as she had died from asickness at age five.""What's wrong?"" she asked her sister. ""I miss you. I am so lonely,"" answered the littlegirl, who was so thin you could see through her. The old lady closed her eyes and reachedfor her sister. That is how they found her the next day, holding her pillow and smiling.""She died in her sleep."" ""It is best that way.""",multiple,Who still looked five years old?,the old woman's little sister,the house,her mom and dad,the bed,the old woman's little sister
