Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
17-166,"W: If you had signaled your intention to return a little sooner, this wouldn't have happened. M: But I signaled in time! Just look at the mess you've made of my ear! You were driving carelessly and your speed was above the limit! You're the one who's to blame!",What are they talking about?,A driving test.,A police movie.,A traffic accident.,A traffic accident.
7-327,"M: Excuse me, could you tell me where the pencil boxes are, please? W: Yes, they are on the next floor, the stationery department.",Where does the conversation most probably take place?,at a post office,at a flower shop,at a department,at a department
14-310,"W: Excuse me, can you tell me where Main Street is? M: Turn left at the second light and then go straight for two blocks. W: Is it far? M: No. It's only a five-minute walk.",Who are the two speakers?,Workers.,Strangers.,Teachers.,Strangers.
3-48,"M: If you'd like to go out for dinner. I'll phone the restaurant. W: Thank you, but I promised my sister I'd take her to the park.",What is the woman going to do this evening?,Go to the dinner party.,Go to the park.,Visit her sister.,Go to the park.
12-71,W: I'll go to study at Peking University. M: Congratulations.,Where will she go to study at?,Peking University.,Cambridge University.,Oxford University.,Peking University.
21-253,"W: Hi. Mike. How did your weekend go? M: Fine. I went back to visit my grandma in the countryside. W: Lucky you. What did you do there? M: I went for a walk in the hills with some of my friends. W: Was it good? M: Yes. the scenery was amazing. The whole hillside was very red. W: How wonderful! Do anything else? M: We went on a picnic on Sunday. W: Did you like it? M: Very enjoyable. By the way, Lisa. what about your Weekend? W: Don't ask me. Mike. M: What happened? W: I have got a cold. I could do nothing but lie in bed. M: Oh. dear.",What did Mike do last week?,He went to visit his grandma in the countryside.,He went for a picnic with his friend in the park.,He stayed at home and doing nothing.,He went to visit his grandma in the countryside.
12-278,"W: The football match started 30 minutes ago. M: Really? Oh, it's 9:50.",When did the football start?,9:50.,9:20.,10:15.,9:20.
5-923,"W: Excuse me, are you going to buy that book? M: Well, I need it for a class but it's awfully expensive. W: Oh, we must be in the same class. Introduction to British Literature? M: Yes, that's the one. Were you there yesterday for the first class? W: I sure was. Professor Robert really seems to know his subject. M: Yes, I took his Shakespeare course last semester and it was very good. He likes listening to his students. W: That's a relief. I'm a biology major and I was a little uncertain about taking an English course. M: I'm an English major and this is a required course. But now I'm in trouble because I'm not sure I can afford this book. W: Hey, I've got an idea. Why don't we split the cost and share the book? M: Sounds great. Do you live on campus? W: Yeah, I live on the 10th floor of Butler Hall. M: Perfect. I live on the 3rd floor of Butler. We should have no trouble sharing the book. I can bring it up to your room right after I wrap up the assignment. W: It's a deal.",Where is the conversation most probably taking place?,In a college bookstore.,In a lecture hall.,In a library.,In a college bookstore.
18-13,"M: How would you like to move? W: Move? What do you mean? M: Move to a new city. I'm thinking of getting another job. W: But why? What's the matter with the one you have? M: I don't have a good future in the job I have. Besides, I think it would be nice to move to a warmer climate. I'm tired of shoveling snow all winter. W: Where is this new job? M: In California. There won't be any snow to shovel there, and we can go to the beach all the year round. W: That sounds pretty good, but what kind of job is it? M: I would be the Director of Research for a big drug company near Los Angeles. I'd get a big raise in salary. W: That sounds terribly exciting. But how about the children? Will they like moving? M: Why not? California has many beautiful new schools, and Fred can go skiing up in the mountains. W: What about Paula? I'm sure she won't want to leave all her friends. M: Oh, she can make new ones out there. People are very friendly out west. W: I hope so. But, I'll certainly hate to leave this house. We've lived here so long. M: Well, maybe I won't get the job. I have to fly out there for an interview next week. W: You know, I must have known you were thinking about getting a new job. Last night I dreamed we were moving.",What does the man think about the weather where he now lives?,It's too hot.,It's too humid.,It snows too much.,It snows too much.
5-789,M: You did an excellent job in school! You were indeed a great student! Where did your drive come from? W: Academic achievements were important to my parents as immigrants. Education is where it all begins. My mother in particular tries to get me interested in school.,what do we learn about the woman from the conversation?,Her mother was quite outstanding in academic word.,She was not particularly interested in going to school.,Her parents laid great emphasis on academic excellence.,Her parents laid great emphasis on academic excellence.
11-109,"W: Please give me two pens. M: Here you are. Ten dollars, please.",How much is a pen?,Ten dollars.,Five dollars.,Fifteen dollars.,Five dollars.
20-84,"Woman: Hi! Have you had a busy day at the office? Man: Yes, sorry I'm late. I didn't get the bus because John offered me a lift. We didn't realize the motorway was closed because of a lorry accident, so it took much longer than usual. I'll be even later tomorrow with the train strike.",Why was the man late home?,Because of the lorry accident.,Because of the train strike.,Because of the bus strike.,Because of the lorry accident.
4-395,W: What time does the movie begin? M: It starts at 7:00. W: What time is it now? M: About 6:45. We'd better hurry up.,When will the movie began?,In about 15 minutes,In about 45 minutes,In an hour,In about 15 minutes
4-1029,M: I wonder if Suzy will be here by 5 o'clock. W: Her husband said she left home at 4:30. She should be here at 5:15.,What time did Suzy leave home?,4:30.,5:00.,5:15.,4:30.
17-167,W: The red coat is $45 and the black one is $35. Which one do you want? M: Neither. I want that large yellow one. How much is it? W: It's twice as much as the black one.,How much is the yellow coat?,$20.,$45.,$70.,$70.
14-180,"M: Where is my black sweater? W: It's in the washing machine. You've got to wear the yellow one, I'm afraid.",What do we learn from the conversation?,The man likes the yellow sweater.,The man can't wear the black sweater.,The woman does not want him to wear the black sweater.,The man can't wear the black sweater.
5-194,"M: Prof. David, I was wondering if you could write a recommendation letter for me. W: Well, I can write one for you. But I'll point out your limitation as well as you strength.",What is the woman's attitude towards writing recommendation?,Unusual.,Enthusiastic.,Serious.,Serious.
17-170,"W: May I help you? M: Yes, please. I'd like to open a new account. W: Yes, I'd be happy to help you. What kind of accounts would you like to open? M: Well, I am not sure. What kind of accounts can I open here? W: Usually we offer current account and fixed account for individuals. M: Could you tell me the differences between them? W: Of course I will. If you open a fixed account, the interest rate is higher. M: Then how about the current account? W: You may withdraw the money at any time and you just need to present your bank card and a withdraw slip. M: I would rather open a current account. W: OK, please fill in this application form. M: Here is the filled out application form. Is everything all fight? W: Yes, quite all right. But you have to deposit some money at the same time you open the account. M: Fine. Here are one hundred pounds. W: Please show your passport. M: Here you are. W: Good. Please sign here. OK, everything is done. Here is your receipt and passport. I'll mail you the bank card in a week. M: Thank you very much. W: It's my pleasure.",What is the characteristic of current account?,Its interest rate is higher.,Its interest rate is very low.,It's convenient.,It's convenient.
4-120,"M: Why don't we stay in one of the flats for our holiday, Mary? They sound just as good as the hotel, and it would be much cheaper. W: But they're quite different, you know. The hotel would be less work!",Why would the woman rather stay at the hotel?,It costs less money.,It saves much labor.,It feels more comfortable.,It saves much labor.
15-70,"W: Are you going to New York tomorrow? M: Yes. I thought I'd drive or fly, but I decided that taking a bus would be cheaper and more convenient than driving or flying.",How will the man get to New York?,By car.,By plane.,By bus.,By bus.
5-534,W: Let's look at the survey on consumer confidence we conducted last week. How reliable are these figures? M: They have a 5% margin of error,What are the speakers talking about?,Newly-launched products.,Consumer preferences.,Survey results.,Survey results.
21-340,W: Can I see the island today? M: You could if this fog would clear up.,What does the man mean?,The woman can see the island.,It's too foggy to see the island now.,It's clear where the lawn has been raked.,It's too foggy to see the island now.
7-46,"M: Perhaps I am anything but a violinist. I just can't keep up with the violin teacher. I am thinking of dropping the lessons. W: Stick with them. Everything is difficult before they become easy. Believe me,hard work pays off.",What does ihe woman advise the man to do?,Pay extra money.,Drop the lessons.,Continue learning.,Continue learning.
2-96,W: Do you know any thing about Agatha Christie? M: Sure. She wrote many detective books.,What is Agatha Christie?,A writer.,A bookseller.,A detective.,A writer.
4-1408,"M: Let's go and have lunch together. W: OK! M: By the way, I'm thinking of going to New Zealand around Christmas for three weeks. It's such a beautiful country. I've never been there before. W: Have you booked the flight? M: Not yet. I'm planning to book my flight in two weeks' time W: Book your flight right now. M: Why? W: Because the longer you leave it, the more expensive it will be. As a matter of fact, the prices may double at Christmas time. New Zealanders usually go home for Christmas. M: Then I'm going to book my flight tomorrow morning.",How long will the man probably stay in New Zealand?,One week.,Two weeks.,Three weeks.,Three weeks.
4-1441,"A: Celia, you see those girls over there? They need another player for a basketball game. Would you like to join them? B: Seems like it's a game for fun. Sure, I'll be there in a minute.",What will Celia do?,Find a player.,Watch a game.,Play basketball.,Play basketball.
7-342,"W: Normally, we supply 3 colors only, black, blue and red. M: But we really want green ones. W: In that case, it will be more expensive.",What color T-shirt dose the man plan to order?,Red,Blue,Green,Green
11-111,"W: Can I help you? M: Yes, I'd like two bottles of milk.",Where are they possibly talking?,In a factory.,In a shop.,At school.,In a shop.
7-247,"M: I heard you took Jenny to a dentist yesterday. What was wrong with her? W: She needs fillings because there was something wrong with her teeth. I really shouldn't have given her so much candy. M: How often did you give her candy? W: I gave her candy on a daily basis. M: You make a huge mistake. Giving children candy harms them in various ways. I read an article the other day. It says kids who often eat canny may suffer from obesity, and poor nutrition besides bad teeth. W: So do you give Jim any candy? M: Yes. But I only give him one on a weekly basis. W: It seems you have known the harm of eating too much candy before you read that article. M: Yes,my grandma had had bad teeth due to eating too much candy. So she never let me eat too much candy. W: I'll give Jenny less candy,too. Oh,my husband will come back from work soon. I must go back and prepare dinner now, M: OK. Bye. W: Bye bye.",What's wrong with Jenny?,She fell over.,She had bad teeth.,She ate too much.,She had bad teeth.
3-33,"W: Hi, Michael. I'm awfully sorry for having kept you waiting. It's... M: Well, but it doesn't matter. That's just fine. I've looked after myself, you see. I've had a couple of drinks. W: Ah, I see.",What did the man do?,Had some drinks.,Made a phone call.,Looked after the woman.,Had some drinks.
15-166,M: Hurry up. The shop will be shut in half an hour. W: What time is it now? M: It's half past four. W: Do you think we should go shopping today?,When will the shop close?,At half past four.,In an hour.,At five o'clock.,At five o'clock.
11-134,"M: Mary, it's too late. Go to bed quickly. F: Just a minute, dad. We are playing computer games.",What does the man want Mary to do?,To go to bed.,To do her homework.,To play computer games.,To go to bed.
4-28,"W: May I change these shoes? M: Why? Anything wrong? W: No, nothing special. My daughter just doesn't like the color.",Why does the woman want to change the shoes?,They are not the right color.,They are not the right style.,They are not the right size.,They are not the right color.
4-1143,"W: Where are you going to take your vacation? M: Hawaii. W: That sounds like a great place to visit. Is your family going? M: Yes. We plan to go mountain climbing, fishing, swimming, and windsurfing. But most of all, we're planning to relax. My wife is taking a whole bunch of books to read. W: Your children must all be excited about it. M: Yes, they are. They're counting the days. Are you going to Europe again this summer? W: No, not this time. We're going to visit some old friends in Egypt.",What do we know about the man's wife?,She likes reading very much.,She's counting the days.,She will visit some old friends.,She likes reading very much.
17-80,M: I'd like to buy a new dress for my wife. W: The women's suits are up on the second floor.,Who are the two speakers?,Teacher and student.,Husband and wife.,Clerk and customer.,Clerk and customer.
21-128,"M: Any message for me, Miss White? W: Just one, Mr. Brown. You had a phone call from someone called Smith, Mary Smith. M: Smith? I don't know anyone called Smith. What did she say? W: She wouldn't say anything. But it sounded important. I told her you'd call her as soon as you came back. M: Well, I think I'd better do it then. Have you got her telephone number? W: Yes, it's 44356793. M: Have you written it down? W: I always do. It's on your desk. M: Thank you.",Who made the telephone call?,Miss Smith.,Miss White.,Mr. Brown.,Miss Smith.
13-56,"W: If you have time, will you mail a letter for me tomorrow? M: I'd be glad to.",Who will mail the letter?,The man.,The woman.,Neither of them.,The man.
21-111,M: Did Henry decorate the whole house himself? W: He had it decorated because he has no time.,Why did Henry have his house decorated?,Because Henry has no time.,Because someone else decorated the house.,Because there was no instruments in the house.,Because Henry has no time.
11-67,"M: Dear, our son's birthday is coming. Have you got a present for him? F: I went to all the shops to find a coat for him yesterday, but I just bought one for myself.",What did the woman buy yesterday?,A coat for herself.,A coat for her son.,A coat for her husband.,A coat for herself.
5-836,"M: Hello? W: Hello, Sam. This is Paula Hanson, Sorry to bother you, but I'm having a small problem I thought you might be able to help me with. M: Sure, Paula. What's up? W: Well, you know Sarah and I moved into an off-campus apartment in the fall,on the west side of town. Any way, we've been happy with it until the past couple of months. M: Yeah. What happened? W: Well,the dishwasher broken down,so we reported it to Ms. Corners,the owner. She said she'd take care of it, but a month went by and nothing happened. M: Did you get back in touch with her? W: I got a repairperson to give me an estimate,and then I sent it to her. When I didn't hear from her,I had the repair done. And I deducted the cost from the rent check. M: So what's the problem? W: She called here madly. She said she could have gotten the repair done for less money. Now, she's threatening to expel us for not paying the full rent. M: Hold on, Paula. It does sound pretty serious. But I'm sure you can all sit down and work this out. W: Well,you're over at the law school. So, I wondered if you would mind coming with Sarah and me when we go to talk to Ms. Corners. We're supposed to meet with her tomorrow night at eight. M: Sure. I haven't studied a lot about contracts yet,but I'll be glad to help you straighten things out. Why don't I stop by about 7:30? W: Thanks Sam. You are our lifesaver.",Why is Paula unhappy?,She has gotten a broken dishwasher.,She has failed to rent an off-campus apartment.,She has a problem with her landlord.,She has a problem with her landlord.
7-366,"M: Excuse me, the micle is in the right way for a few far? W: I'm afraid not. M: Oh, how can I get there? W: Are you on third? M: Unfortunately, yes. W: Well. It's easy enough to get there. You need to go down this road till you see a track on your left. Maybe half a mile off. M: Half a mile, ok. W: Then, take that track and keep going for another half mile. M: It's over a mile away? W: Oh, at least. Now, we get in a bridge, go straight over. M: Er, ha. W: Then a little way passed, you'll see a sign ""Hill Farm"" on your left. M: And that's finally it? W: Yes. M: Got it. Err, you're not driving that way, are you? W: Sorry. M: Well, Now no homing asking. Thanks for your help!",How far away is Hill Farm?,Nearly a mile.,Just one mile.,More than a mile.,Nearly a mile.
12-376,"F: I think you only make friends with boys, isn't that right? M: Oh, no! I also have a lot of girl friends!",What friends does the man make?,Girls.,Boys.,Both girls and boys.,Both girls and boys.
4-820,"W: Sorry, I'm late, Tom. M: It's all right, Rita. Where have you been? W: At the police station. I've lost my handbag. Or perhaps someone's taken it. I don't know. M: Oh, no. What happened? Sit down. Was there anything important in it? W: Important! My checkbook, all the papers I need for work. M: Oh, that's terrible. But how did you lose it? W: Well, as you know, I was with a friend all morning and we had lunch together. After I had lunch, I went shopping. And when I wanted to buy something, I couldn't find my checkbook. Then I remembered that it was in my handbag. And my handbag was in my car. M: So you went back to your car. W: But I didn't find it there. M: And you went to the police station? W: Not immediately. Before I went to the police station I called my friend's office. No luck. M: You should go to the restaurant where you had lunch and look for it. W: Oh, I should have done that. M: Now you'd better telephone the manager right away.",At what time do you think the conversation took place?,In the morning.,At noon.,In the afternoon.,In the afternoon.
4-1527,"M: Would you please tell me why you want to work in our kindergarden? You know kids are sometimes so tiresome. W: I love children. I can sing to them and teach them how to dance. M: Then have you worked in a kindergarden before? W: No, but I used to take care of children during summer and winter holidays. M: I see. By the way, do you want to work part-time or full-time? W: I'd prefer part-time. M: When can you work? W: I'm free every afternoon. So I can work about 20 hours a week. M: OK, Jean, you're hired. You can work here from 2 p.m. to 6 p.m., four days a week, except Friday, Saturday and Sunday.",What is the woman going to be?,A cook.,A teacher.,A doctor.,A teacher.
5-609,"M: Your son seems to have made much progress in playing the piano. Does he attend any piano classes? W: Yes, he takes lessons twice a week, but from next week on, he will go to the class on Saturday evenings too.",How often will the woman's son have piano lesson from next week on?,Once a week.,Twice a week.,Three times a week.,Three times a week.
4-1089,"M: Let's try that song again. You played it well, but try to play the second part a little faster this time. W: Ugh. I already played it three times! My hands are too cold to play well. M: OK, let's try another song. Play the short, slow piece that you like so much, the one that sounds like guitar music. That should warm up your hands! W: Oh, that one is easy! I played it four times this morning. It's my favorite. M: Good! You will be a great piano player one day if you keep playing the songs that you enjoy!",What instrument is the woman playing?,The guitar.,The violin.,The piano.,The piano.
5-452,M: The assignment on physics is a real challenge. I don't think I can finish it on time or by myself. W: Why don't we join our feet together? It may be easier then.,What does the woman suggest?,They join the physics club.,They ask for an extension of the deadline.,They work on the assignment together.,They work on the assignment together.
1-71,"Stacy: Hi. Mark: Oh, Hi. Stacy: Are you new in the neighborhood? [ Oh, yeah. ] Welcome, welcome to the neighborhood. [ Oh. ] Hey, I'm Stacy. I live across the street. Mark: Oh, Hi, Stacy. I'm Mark. Mark Jones. Stacy: Um. Looks like your moving. Do you need any help unloading your moving truck? I can have my husband come or my kids. Mark: Um, well, fortunately, the movers are going to do that, but you're welcome to, uh, help carry in a few things out from our car. Stacy: Yeah, sure, I can get them. So, where are you from? Mark: Well, we're from originally from Chicago, but we just moved from a place called Springville. Stacy: Oh, Springville, that's, uh. Isn't that the ... the north end of the state Mark: Yeah, just, yeah, not too far from here. Stacy: How was your trip? Mark: Well, it went pretty well. We hired a moving company, something my company paid for, and it was simply more convenient than packing all our stuff, renting a truck, and then moving everything ourselves. Stacy: That's nice. How does this moving company work then? Was it pretty good? Mark: Yeah. Well, in many cases, you can pack your own things and just have the company load the boxes and your other items on the truck, or they'll pack everything for you, and they can tow your vehicle behind the truck if you like, and they can even, you know, move heavy items like pianos. Stacy: Wow, that's nice. So, did everything go as planned? Mark: Well, pretty much, except our cat disappeared [ Really? ] yeah, about three hours before the movers left ... Stacy: Did you ever find it? Mark: No, and uh, we're not sure if she ran away, got hit by a car, or what. Stacy: Oh, that must be really hard on your family. Sorry to hear about that. [ Yeah. ] Yeah, that must be rough. [ Yeah. ] No sign of the cat? Mark: Not yet. Stacy: Uh, I'm sorry. So, um, what do you do for a living? Mark: Well, I'm software developer. Stacy: Oh, what do you do exactly in your job? Mark: Well, um, most of the time, I develop educational software for schools [ Really? ] ... Yeah, and at the moment, I'm working on several educational apps for, you know, smart phones. Stacy: Oh, that's ... that's great. Mark: Yeah, it's a really good job. And, so, how about yourself? Stacy: Well, actually, I'm a high school history teacher. Mark: Oh, wow, you know, actually, I've created two apps on world history that you might be interested in. Stacy: Serious? Mark: Yeah. Stacy: Oh, that sounds great. I'd love to see them. [ Yeah. ] By the way, um, you know, we're having a barbecue at our place on Friday. [ Oh? ] Why don't you come over ... bring your family and get to know some of the neighbors? Mark: Well, let me talk to my wife, but just so you know, we have nine kids. [ Serious? Nine kids? Wow ], yes, so they might eat all your food. Stacy: Well, that's no problem. That's a lot of kids, but it'll be fun. Hey ... [ What? ] No, just listen. [ Hey. ] Did you hear that? Listen, listen. It's coming from over there. It's in one of the ... there something in one of your boxes. Mark: No way. Yeah. Stacy: That sounds ... That sounds like a cat. Is the cat in one of your ... Did you find ... Did the cat get in one of your boxes? Mark: I don't know. Let me look. Hey, let me move this box. Yeah. Stacy: Wow! Mark: Oh, no. I can't believe it! I'm sure the family is going to be happy about this. Sarah: I bet. Congratulations!",What is the man's name?,Mark Jones,Mark James,Mark Johnson,Mark Jones
13-111,M: How's Mary feeling today? W: She still has a headache.,How is Mary?,She is in.,She feels happy.,She is sad.,She is in.
5-437,"M: After high school, I'd like to go to college and major in business administration. I really like power and enjoy telling people what to do. W: You're very ambitious. But I'd rather spend my college days finding out what children are interested in. Child's psychology is for me.",What do we learn from the conversation?,The woman is working in a kindergarten.,The man will go in for business fight after high school.,The man wants to be a business manager.,The man wants to be a business manager.
4-1071,"M: Hi, Jenny, how are you getting on with your packing? W: I am still deciding what to take with me.",What can we learn about Jenny?,She needs more time for packing.,She never hesitates over what to take.,She hates packing by herself.,She needs more time for packing.
4-565,"W: Madison Square Garden. Can I help you? M: Yes. Do you have any more tickets for the concert on Friday night? W: Do you mean the Rock'n'Roll Revival Show? Yes, we still have some $30 tickets left. M: Great. OK, and is the box office open now? W: Yes, the box office is open from 10:00 am to 8:00 pm. M: Oh, by the way, what time does the show start? W: It starts at 8:00 in the evening. M: And what time does it end? W: Well, there are four bands, so it'll probably end at about midnight. M: Thanks a lot. W: No problem.",Why does the man make the phone call?,He wants to book some seats for the show.,He wants to get some information about the show.,He wants to know on what day the show will be given.,He wants to get some information about the show.
11-145,M: Hi. You're back from Hong Kong. So how's it? W: It's very nice. The streets are clean and the food is good.,What are they talking about?,Streets.,Hong Kong.,Food.,Hong Kong.
16-73,"W: Hi, Bob, which unit are you learning this week in your English class? M: Last week we learned first part of Unit 1. On Monday we finished Unit 1. On Wednesday we'll finish Unit 2. And on Friday we'll finish Unit 3.",Which unit is Bob learning?,Unit 1.,Unit 2.,Unit 3.,Unit 1.
5-565,"W: Can you believe the way Larry was talking to his roommate? No wonder they don't get along. M: Well, maybe Larry was just reacting to something his roommate said. There are two sides to every story you know.",What does the man imply about Larry and his roommate?,They are both to blame.,They are both easy to please.,They can manage to get along.,They are both to blame.
4-265,W: The teacher called to say that the class would start at 1:00 p.m. M: That's great! I still haven't eaten lunch yet. W: You have an hour to do so.,When does this conversation take place?,2:00 p.m..,12:00 noon.,11:00 a.m..,12:00 noon.
7-322,"W: Hello, Robert. How was your job-hunting going? M: Well, I have an important interview on Saturday. Maybe you could give me some tips on how to make a good impression. W: Sure. First, write down something about your education and work experience. Take it to the interview. M: All right. W: Also, you need to find as much information as you can about the company. You can do this in the library. Have they sent you some brochures? M: Yes, but I can do it better on the Internet. W: That's a good idea. And another thing, mmm, be prepared to say why you would be good for the job. M: Oh, yes. They may want to know what contributions I can make to the company. W: And then don't forget to prepare some questions that you would like to ask them. There's usually time for that at the end of the interview. M: Why should I ask some questions? W: It always makes a good impression if you ask some questions about the job. It shows you really care about what kind of company you will work for. M: Thank you so much for all your advice.",Where will the man most probably find out about the company?,In the brochures,In the libtary,On the Internet.,On the Internet.
3-49,M: What time does the concert begin? W: At half past eight. There is a quarter of an hour to go.,What time is it now?,8:45,8:30,8:15,8:15
9-131,"W: You look tired, John. What have you been doing? M: My teacher wasn't happy with my mid-term essay. She told me to do it all over again. W: At least, she gave you a second chance. M: Yeah, I have to admit that.",What did the man's teacher tell him to do?,Polish his essay.,Hand in his essay.,Rewrite his essay.,Rewrite his essay.
14-341,W: Something is wrong with our TV. M: Why don't you ask Mr. Green to have a look?,What does Mr. Green probably do?,A guide.,A repairman.,A boot and shoe repairer.,A repairman.
5-185,"M: It's partly your own fault. You should never let in anyone like that unless you're expecting him. W: It's all very well to say that, but someone cones to the door and says"" electricity ""or ""gas"" and you automatically think he is OK, especially if he shows you a card.",How does the woman feel about the man's remarks?,She thinks it is easier said than done.,She totally agrees with him.,She feels that what he says is simply nonsense.,She thinks it is easier said than done.
11-123,"F: Have you entered for the sports meeting? M: No, I'm afraid I won't be all right by then.",How is the boy now?,He is ill.,He is very well.,He is hungry.,He is ill.
3-30,"W: Hi, Mark. Are you in town for another job interview? M: Yes, I'm pretty hopeful this time. I've just finished my second interview with this company. W: That sounds great. I hope it works out for you. But wasn't it expensive just getting here? M: No, in fact the company is paying all my expenses. They've put me up in a hotel downtown. W: How nice! How many people are they interviewing? M: They interviewed 16 the first time, and now four of us were chosen to go back for this interview. W: Well, I hope it goes well. John and I would love it if you came to this area to work. M: I would too. But my girlfriend doesn't want to leave her family. She hopes I find a job close to home. W: Oh, What a decision. Good luck.",How does the man seem to feel after this interview?,Nervous.,Hopeful.,Excited.,Hopeful.
3-15,"W: Why don't you sit down? Now, there are several questions I must ask you if you don't mind. M: Not at all. Go ahead. W: What is the purpose of your visit to the States? M: I'm going to attend a conference on air pollution. W: When and where is this conference being held? M: It's being held in the first two weeks of February at the University of Stanford in California. W: Who will pay your expenses? M: The University of Stanford. Here is the official letter of invitation. W: I see. Fine. When do you want to go? M: I'd like to leave in mid-January if my passport is ready by then. W: That shouldn't be difficult. Why don't you phone me about January 10th? I should be able to give you an answer then. M: Thank you.",Why is the man going to the States?,Visit places of interest.,Visit his friends.,Attend a conference.,Attend a conference.
14-11,"W: I'll get to Cairo at 7:00 p.m. New York time. What time is it in Cairo? M: Let me see, it is 7 hours later in Cairo.","What time is it,in Cairo?",2:00 a.m.,12:00 noon.,7:00 p.m.,2:00 a.m.
4-571,"W: Would you like to take a walk with me? M: Oh, I'd like to, but I haven't finished the report on the strike. It's eight o'clock already. W: Don't worry. Your clock is ten minutes fast.",What time is it now?,7:50.,8:00.,8:10.,7:50.
7-359,"M: Are you OK, Lily? You don't look very happy. W: Oh, David. I had an argument with mum again. I'm not getting enough pocket money. M: How much do you get? W: Five pounds a week. M: That sounds reasonable to me. W: Well, I'm 14 and if you are going to town shopping, you can never have enough money. Everything is so expensive. M: But is it fair amount of money? Compare what your friends get. W: Well, we all get the same. But I have to buy all my music things as well things for school and have hardly anything left to spend on clothes. M: Right. Do you have to help around house? W: Not really. M: So you don't have to do anything for this pocket money. W: Mum said if I did that I will never have time to do my school work. M: Has she said you can have more pocket money when you are 15? W: Well, Mum just says she'll decide when I'm ready to have more. And I've just got to wait. M: Maybe you should sit down with her and say ""How can I prove that I am old enough to get more?"" W: So, I should talk to her again. M: Yes, but don't argue with her. Just discuss it calmly. W: OK, thanks.",How much pocket money does Lily get a month?,About 20 pounds.,About 15 pounds.,About 5 pounds.,About 20 pounds.
4-239,W: How's your mother now? I heard she had an operation last week. M: She is much better. Thank you. But she still needs to stay there for two more weeks.,is the man's mother now?,At home.,In a hospital.,At a bus stop.,In a hospital.
17-92,"M: What time does the library close? W: On Monday, Wednesday and Friday, it close at 5:00 p.m. On Tuesday and Thursday, it's till nine. It stays open until six on Saturday, but on Sunday it's closed all day.",On which evenings is the library open according to the woman?,"Monday, Wednesday and Friday.",Saturday and Sunday.,Tuesday and Thursday.,Tuesday and Thursday.
14-266,"M: Hi, Betty, where are you going for your vacation? W: Georgia. I've been waiting to go there for ages. M: Now your dream will come true. When are you off?. W: Next Wednesday evening. M: How are you getting to the airport? Is anybody seeing you off?. W: No, I will take a taxi to go there. My plane takes off at 10:30. M: Are you staying in a hotel in Georgia? Hotels there are particularly expensive and it's hard to book one at this time of year. W: No, not necessary. My aunt lives there and I'm staying with her. What about you? Are you going anywhere? M: Yeah. I'm going to Florida on Friday with my parents. W: How are you getting there? By train? M: No, by plane. W: How long are you staying there? M: It all depends. Maybe a week. See you when we get back. Have a nice time in Georgia. W: Good luck! Have a nice trip! M: Thanks. The same to you. Bye!",How will the woman go to Georgia for her holiday?,By taxi.,With her brother.,On her own by plane.,On her own by plane.
21-27,"W: Have you heard whether Jack is coming back today? M: He was supposed to arrive next week, but he is coming back the day after tomorrow.",When will Jack arrive?,Tomorrow.,The day after tomorrow.,Today.,The day after tomorrow.
4-91,"W: Dad, I need a few supplies for school, and I was wondering if... M: Yeah. There are a couple of pencils and an eraser in the kitchen drawer, I think. W: Dad, I'm in Grade 8 now, and I need real supplies for my demanding classes. M: Oh, so you need a ruler, too? W: Dad, I need some high tech stuff like a calculator and a laptop computer. M: Uh. I didn't have any of that when I was in middle school, and I did just fine. W: Yeah, and there weren't any cars either. Things are a lot more progressive now. M: Great. My daughter will be playing video games in class. W: Dad. M: Okay. How much are these things going to cost me? W: Well, I found a computer at the store for only 299. M: Well, you'll be supporting me in my old age, so, I guess so. When do you need it? W: Now, right now. Mom's already waiting in the car for us. She said she would buy me an ice cream if I could talk you into buying it for me today.",What are the speakers talking about?,Supplies for school.,Computer games.,Financial problems.,Supplies for school.
17-90,M: I'm terribly sorry. I lost the magazine you lent me the other day. W: It doesn't matter. I've read it. M: I've tried to get another copy but couldn't find one.,Why is the man feeling sorry?,He couldn't get a copy of the magazine the girl wants.,He wants to read the magazine again.,He has lost the woman's magazine.,He has lost the woman's magazine.
14-355,"M: Are you still a teacher, Jane? W: No, I changed my job last year. Now I work in an office as a secretary.",What does the woman do now?,A teacher.,A secretary.,An officer.,A secretary.
4-1175,W: We are going fishing tomorrow. Would you like to go with us? M: I am afraid I can't. I have to visit my friend in hospital tomorrow.,What is the woman going to do tomorrow?,Go swimming.,Go fishing.,Go to the hospital.,Go fishing.
5-56,M: Can I borrow your math textbook? I lost mine on the bus. W: You've asked the right person. I happen to have an extra copy.,What does the woman mean?,She can find the right person to help the man.,She can help the man out.,She's also in need of a textbook.,She can help the man out.
12-616,M: The plane crash caused 120 death. W: It's terrible!,How many people died in this crash?,120.,20.,12.,120.
14-331,"M: Do you like Chinese food? W: Yes, Ido. M: What's your favorite Chinese food? W: Mm. It's hard to say. I like hot and sour soup a lot but I guess I like bean curd better. M: Do you eat Chinese food often? W: Once in a while.",Dose the woman like Chinese food?,Yes.,No.,Unclear.,Yes.
